SN,FAN NO,MAKE,REPAIRED BY ,REPAIRED DT,INSTALLED ,DATE OF,,REMARKS  IF ANY,DATE OF,REPAIRED BY,DATE OF,DATE OF,DATE OF
,,,,,AT,INSTALLED,FAILURE ,,FAILURE ,,REWINDING,FAILURE ,REWINDING
1,KKR/TS/01,ORISON,MAHESH ELECTRICAL,01/04/2022,MA/15,02/04/2022,,21/11/2023 TO 30/11/2023 NEED UPDATE,,,,,
2,KKR/TS/02,BAJAJ,NEERAJ DEEH BABA,02/04/2022,B/2,03/04/2022,22/10/2022,,,,,,
,,,MANISH,13/02/2023,,,,,,,,,
3,KKR/TS/03,ORISON,MAHESH ELECTRICAL,25/03/2022,B/125,26/03/2022,,,,,,,
4,KKR/TS/04,ORISON,MAHESH ELECTRICAL,25/03/20228,MH/5,26/03/2022,,,,,,,
5,KKR/TS/05,ORISON,MAHESH ELECTRICAL,25/03/2022,MM/1,27/03/2022,,,,,,,
6,KKR/TS/06,ORISON,MAHESH ELECTRICAL,25/03/2022,B/306,27/03/2022,,,,,,,
,,COMPTON ,,,B/297,03/04/2022,,`,,,,,
7,KKR/TS/07,ORISON,MAHESH ELECTRICAL,25/03/2022,MH/40,27/03/2022,02/09/2023,,,,,,
,,,,,MX/03,12/10/2023,,,,,,,
8,KKR/TS/08,ORISON,MAHESH ELECTRICAL,25/03/2022,MG/20,26/03/2022,,,,,,,
9,KKR/TS/09,ORIENT,NEERAJ DEEH BABA,02/04/2022,MN/31,11/04/2022,06/10/2023,,,,,,
,,KHAITAN,,,,,,,,,,,
10,KKR/TS/10,ORISON,MAHESH ELECTRICAL,07/04/2022,DAV,10/04/2022,,,,,,,
11,KKR/TS/11,ORISON,MAHESH ELECTRICAL,01/04/2022,DAV,10/04/2022,,,,,,,
12,KKR/TS/12,BROWN,NEERAJ DEEH BABA,02/04/2022,,,,,,,,,
13,KKR/TS/13,BAJAJ,NEERAJ DEEH BABA,02/04/2022,MP/23,03/04/2022,,,,,,,
14,KKR/TS/14,ORISON,MAHESH ELECTRICAL,01/04/2022,MD/20,02/04/2022,,,,,,,
